producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
French Rack al Vacío LA CONSTANCIA x kg,La Constancia,Competencia,La Constancia,Carnes y cortes,539,,,,,,,geant,,341270,https://www.geant.com.uy/product/french-rack-al-vacio-la-constancia-x-kg/341270
Matambrito de Cerdo LA CONSTANCIA al vacío x 700 g,La Constancia,Competencia,La Constancia,Carnes y cortes,679,,,,,,,devoto,,341560,https://www.devoto.com.uy/product/matambrito-de-cerdo-la-constancia-al-vacio-x-700-g/341560
Matambrito de Cerdo LA CONSTANCIA al vacío x 700 g,La Constancia,Competencia,La Constancia,Carnes y cortes,679,,,,,,,disco,,341560,https://www.disco.com.uy/product/matambrito-de-cerdo-la-constancia-al-vacio-x-700-g/341560
Matambrito de Cerdo LA CONSTANCIA al vacío x 700 g,La Constancia,Competencia,La Constancia,Carnes y cortes,679,,,,,,,geant,,341560,https://www.geant.com.uy/product/matambrito-de-cerdo-la-constancia-al-vacio-x-700-g/341560
Morcilla Dulce La Constancia Al Vacio X 2 U,La Constancia,Competencia,La Constancia,Carnes y cortes,139,139,,,,,,tata,,152296,https://www.tata.com.uy/morcilla-dulce-la-constancia-al-vacio-x-2-u-152296/p
Pulpa de bondiola LA CONSTANCIA al vacio x 600 g,La Constancia,Competencia,La Constancia,Carnes y cortes,261,,,,,,,devoto,,360185,https://www.devoto.com.uy/product/pulpa-de-bondiola-la-constancia-al-vacio-x-600-g/360185
Pulpa de bondiola LA CONSTANCIA al vacio x 600 g,La Constancia,Competencia,La Constancia,Carnes y cortes,261,,,,,,,disco,,360185,https://www.disco.com.uy/product/pulpa-de-bondiola-la-constancia-al-vacio-x-600-g/360185
Vacío de Cerdo al Vacio LA CONSTANCIA,La Constancia,Competencia,La Constancia,Carnes y cortes,329,469,,,,,,devoto,,300042,https://www.devoto.com.uy/product/vacio-de-cerdo-al-vacio-la-constancia/300042
Vacío de Cerdo al Vacio LA CONSTANCIA,La Constancia,Competencia,La Constancia,Carnes y cortes,329,469,,,,,,disco,,300042,https://www.disco.com.uy/product/vacio-de-cerdo-al-vacio-la-constancia/300042
Vacío de Cerdo al Vacio LA CONSTANCIA,La Constancia,Competencia,La Constancia,Carnes y cortes,329,469,,,,,,geant,,300042,https://www.geant.com.uy/product/vacio-de-cerdo-al-vacio-la-constancia/300042
Vacío De Cerdo La Constancia Envasado Al Vacío 700 G,La Constancia,Competencia,La Constancia,Carnes y cortes,429,429,,,,,,tata,,3846,https://www.tata.com.uy/vacio-de-cerdo-la-constancia-envasado-al-vacio-700-g-3846/p
Bondiola Ottonello 100 G,Ottonello,Competencia,Ottonello,Carnes y cortes,101,1010,,,,,,tata,,7905,https://www.tata.com.uy/bondiola-ottonello-100-g-7905/p
Bondiola OTTONELLO A/C kg,Ottonello,Competencia,Ottonello,Carnes y cortes,99,990,,,,,,devoto,,300503,https://www.devoto.com.uy/product/bondiola-ottonello-a-c-kg/300503
Bondiola OTTONELLO A/C kg,Ottonello,Competencia,Ottonello,Carnes y cortes,99,990,,,,,,disco,,300503,https://www.disco.com.uy/product/bondiola-ottonello-a-c-kg/300503
